Data,Reservas
05-01-2020,100
06-01-2020,101.66187999267031
07-01-2020,103.399778295049
08-01-2020,105.19845495960507
09-01-2020,107.07804848843305
10-01-2020,108.50044359132993
11-01-2020,109.38363483634292
12-01-2020,110.20749914275294
13-01-2020,112.34834891497016
14-01-2020,114.45345738166817
15-01-2020,116.50014604949716
16-01-2020,118.70431417514691
17-01-2020,120.15083919496792
18-01-2020,120.99756342267449
19-01-2020,121.78623070740571
20-01-2020,127.02351124762556
21-01-2020,129.12480972744081
22-01-2020,130.83640097753377
23-01-2020,132.51079949853315
24-01-2020,133.76882088163094
25-01-2020,134.5175740180666
26-01-2020,135.13860187995638
27-01-2020,136.62504104807297
28-01-2020,138.4269834156714
29-01-2020,140.23328005399296
30-01-2020,141.82658028277359
31-01-2020,143.11526298888029
01-02-2020,143.83099623899867
02-02-2020,144.40757425392292
03-02-2020,145.78080238323753
04-02-2020,147.54410059816794
05-02-2020,149.09204384024909
06-02-2020,150.55453451938828
07-02-2020,151.93701547398959
08-02-2020,152.65728442277791
09-02-2020,153.15240128958985
10-02-2020,154.84875259215181
11-02-2020,156.57376951030781
12-02-2020,158.22948095278701
13-02-2020,159.78377417300607
14-02-2020,161.02927702777481
15-02-2020,161.69421045278972
16-02-2020,162.38635806982435
17-02-2020,163.90490998452418
18-02-2020,165.57821993784279
19-02-2020,167.20962003545102
20-02-2020,168.882567132876
21-02-2020,169.9831090581531
22-02-2020,170.68904519914437
23-02-2020,171.26580464201547
24-02-2020,171.93581804954073
25-02-2020,172.87452624627392
26-02-2020,173.50262979808883
27-02-2020,173.70020483215194
28-02-2020,173.67335349602581
29-02-2020,173.74973466162783
01-03-2020,173.67335349602581
02-03-2020,173.74973466162783
03-03-2020,173.81631871810271
04-03-2020,173.52766685474697
05-03-2020,173.39595016537157
07-03-2020,173.32591897790752
09-03-2020,172.74716382762168
10-03-2020,173.11945397445132
11-03-2020,172.3393138032196
12-03-2020,171.45884397740861
13-03-2020,170.43940034435025
14-03-2020,168.85027295834595
15-03-2020,167.26096414439488
16-03-2020,166.31608739747054
17-03-2020,165.4726288728063
18-03-2020,163.11315842469742
19-03-2020,160.49388315677371
20-03-2020,157.39872238439864
21-03-2020,153.67128521743231
22-03-2020,151.07686557821992
23-03-2020,150.48250762450945
24-03-2020,149.361645769191
25-03-2020,144.95947806808266
26-03-2020,140.62570870291717
27-03-2020,134.60647371199767
28-03-2020,130.85708376346875
29-03-2020,127.39942995339115
30-03-2020,126.41173621102246
31-03-2020,125.29595433821434
01-04-2020,121.42645908890515
02-04-2020,118.04881500336548
03-04-2020,114.55850416286424
04-04-2020,111.23710274083199
05-04-2020,109.14814136139903
06-04-2020,108.71108143756247
07-04-2020,105.11626809970554
08-04-2020,102.90683856359865
09-04-2020,98.391459823688322
10-04-2020,95.7250132895971
11-04-2020,90.832808704187173
12-04-2020,85.688600700674726
13-04-2020,79.736675478017276
14-04-2020,78.370523038627823
15-04-2020,74.913776368284218
16-04-2020,68.999043874720371
17-04-2020,65.657685378540336
18-04-2020,59.239490332611858
19-04-2020,55.759883740971695
20-04-2020,53.74294925641756
21-04-2020,52.329444122913806
22-04-2020,49.314837358917096
23-04-2020,46.571102519489891
24-04-2020,43.83843478481738
25-04-2020,41.795556103871121
26-04-2020,39.8914698022254
27-04-2020,39.266631953452844
28-04-2020,38.649414078445822
29-04-2020,37.104917967353856
30-04-2020,35.022669421952422
