Data,Reservas
05-01-2020,100
06-01-2020,101.7022458535037
07-01-2020,103.60685659868265
08-01-2020,105.71780017458931
09-01-2020,107.14625823347352
10-01-2020,108.28902468058091
11-01-2020,109.46353464010792
12-01-2020,110.28886596301881
13-01-2020,112.47520038092216
14-01-2020,114.90754702007777
15-01-2020,117.08594555987619
16-01-2020,118.45885247202604
17-01-2020,120.12538687405763
18-01-2020,121.09753194190938
19-01-2020,121.80382509324656
20-01-2020,123.96635187683518
21-01-2020,126.38282675978097
22-01-2020,128.75962225220221
23-01-2020,130.83088643758433
24-01-2020,132.92199031822872
25-01-2020,133.68383461630029
26-01-2020,134.34251249900802
27-01-2020,136.48519958733434
28-01-2020,137.75097214506786
29-01-2020,139.83810808665979
30-01-2020,141.55225775732086
31-01-2020,142.46885167843823
01-02-2020,143.02833108483455
02-02-2020,143.56797079596856
03-02-2020,145.67097849377032
04-02-2020,147.61526862947386
05-02-2020,149.5278152527577
06-02-2020,150.88881834775017
07-02-2020,152.20617411316564
08-02-2020,152.82517260534877
09-02-2020,153.43226728037456
10-02-2020,154.932148242203
11-02-2020,157.12245059915878
12-02-2020,158.51519720657089
13-02-2020,160.41584001269743
14-02-2020,161.33640187286721
15-02-2020,161.96730418220776
16-02-2020,162.74105229743671
17-02-2020,164.35203555273392
18-02-2020,166.20109515117849
19-02-2020,168.0382509324657
20-02-2020,169.55797158955639
21-02-2020,170.50234108404095
22-02-2020,171.03404491707005
23-02-2020,171.60542814062376
24-02-2020,172.19665105943974
25-02-2020,172.95849535751131
26-02-2020,173.77985874136974
27-02-2020,174.41472898976272
28-02-2020,174.70835647964446
29-02-2020,174.71629235774938
01-03-2020,174.70835647964446
02-03-2020,174.71629235774938
03-03-2020,175.0138877866836
04-03-2020,175.51384810729306
05-03-2020,176.0376160622173
06-03-2020,176.73200539639711
07-03-2020,176.96214586143958
09-03-2020,177.104991667328
10-03-2020,177.17641457027219
11-03-2020,177.07324815490836
12-03-2020,176.64074279819062
13-03-2020,176.99785731291166
14-03-2020,175.48607253392586
15-03-2020,174.21633203713992
16-03-2020,173.52591064201252
17-03-2020,172.9069121498294
18-03-2020,171.0142052218078
19-03-2020,168.26045551940319
20-03-2020,165.85191651456233
21-03-2020,162.17760495198795
22-03-2020,160.16585985239266
23-03-2020,159.71351480041267
24-03-2020,158.7969208792953
25-03-2020,153.31719704785334
26-03-2020,149.28180303150543
27-03-2020,144.75041663360051
28-03-2020,141.02848980239665
29-03-2020,138.29457979525435
30-03-2020,137.86207443853661
31-03-2020,137.26291564161573
01-04-2020,135.6281247520038
02-04-2020,132.97357352591064
03-04-2020,130.70788032695816
04-04-2020,127.8469962701373
05-04-2020,125.44242520434885
06-04-2020,124.82342671216571
07-04-2020,122.64502817236726
08-04-2020,120.39123879057219
09-04-2020,113.61796682802951
10-04-2020,111.45940798349336
11-04-2020,104.08300928497738
12-04-2020,96.762161733195782
13-04-2020,92.365685263074354
14-04-2020,91.29037377985874
15-04-2020,86.421712562495046
16-04-2020,73.974287754940079
17-04-2020,69.986509007221656
18-04-2020,65.605904293310061
19-04-2020,62.042695024204434
20-04-2020,60.376160622172833
21-04-2020,59.336560590429329
22-04-2020,56.924053646535988
23-04-2020,54.936116181255457
24-04-2020,48.912784699627011
25-04-2020,45.40115863820332
26-04-2020,43.817950956273307
27-04-2020,43.3576700261884
28-04-2020,42.996587572414889
29-04-2020,41.699071502261717
30-04-2020,39.941274502023646
